Player Name,Predicted Points for GW 25,Value,Position,Team
Bashir Humphreys,0.012529605896395268,40.0,DEF,Chelsea
Ben Chilwell,0.89,54.0,DEF,Chelsea
Ben Davies,0.94,43.0,DEF,Spurs
Ben Godfrey,0.88,43.0,DEF,Everton
Ben Greenwood,0.012529605896395268,40.0,DEF,Bournemouth
Ben Jackson,0.012529605896395268,40.0,DEF,Brighton
Ben Johnson,0.87,44.0,DEF,West Ham
Ben Mee,4.46,48.0,DEF,Brentford
Bendegúz Bolla,0.012529605896395268,40.0,DEF,Wolves
Benjamin Fredrick,0.012529605896395268,40.0,DEF,Brentford
Benjamin White,5.02,56.0,DEF,Arsenal
Benoît Badiashile,0.62,44.0,DEF,Chelsea
Bobby Thomas,0.012529605896395268,40.0,DEF,Burnley
Brandon Williams,0.012529605896395268,40.0,DEF,Man Utd
CJ Egan-Riley,0.012529605896395268,39.0,DEF,Burnley
Callum Scanlon,0.012529605896395268,39.0,DEF,Liverpool
Calum Chambers,0.012529605896395268,38.0,DEF,Aston Villa
Calvin Bassey,0.04,44.0,DEF,Fulham
Charlie Goode,0.012529605896395268,39.0,DEF,Brentford
Charlie Taylor,0.37,40.0,DEF,Burnley
Chris Basham,1.72,39.0,DEF,Sheffield Utd
Chris Mepham,0.79,43.0,DEF,Bournemouth
Chris Richards,0.55,39.0,DEF,Crystal Palace
Clément Lenglet,0.46,45.0,DEF,Aston Villa
Connor Roberts,0.09,43.0,DEF,Burnley
Conor Bradley,1.13,41.0,DEF,Liverpool
Craig Dawson,1.44,45.0,DEF,Wolves
Cristian Romero,2.5,49.0,DEF,Spurs
Cédric Alves Soares,0.03,39.0,DEF,Arsenal
César Azpilicueta,0.012529605896395268,45.0,DEF,Chelsea
Daiki Hashioka,0.012529605896395268,40.0,DEF,Luton
Dan Burn,1.68,44.0,DEF,Newcastle
Dan Potts,0.012529605896395268,39.0,DEF,Luton
Daniel Muñoz,0.32,45.0,DEF,Crystal Palace
Dara O'Shea,3.48,44.0,DEF,Burnley
Davinson Sánchez,0.12,44.0,DEF,Spurs
Destiny Udogie,2.68,49.0,DEF,Spurs
Devan Tanton,0.012529605896395268,40.0,DEF,Fulham
Diego Carlos Santos Silva,1.0,44.0,DEF,Aston Villa
Diogo Dalot Teixeira,3.3,51.0,DEF,Man Utd
Djed Spence,0.012529605896395268,40.0,DEF,Spurs
Elijah Campbell,0.012529605896395268,40.0,DEF,Everton
Emerson Leite de Souza Junior,0.24,43.0,DEF,Spurs
Emerson Palmieri dos Santos,1.64,45.0,DEF,West Ham
Emil Krafth,0.64,44.0,DEF,Newcastle
Eric Bailly,0.012529605896395268,40.0,DEF,Man Utd
Eric Dier,0.41,42.0,DEF,Spurs
Ethan Ampadu,0.012529605896395268,40.0,DEF,Chelsea
Ethan Pinnock,4.24,46.0,DEF,Brentford
Ezri Konsa Ngoyo,0.43,46.0,DEF,Aston Villa
Fabian Schär,5.72,53.0,DEF,Newcastle
Felipe Augusto de Almeida Monteiro,0.66,44.0,DEF,Nott'm Forest
Femi Seriki,0.012529605896395268,39.0,DEF,Sheffield Utd
Fodé Ballo-Touré,0.62,45.0,DEF,Fulham
Gabriel Osho,0.83,44.0,DEF,Luton
Gabriel dos Santos Magalhães,8.61,50.0,DEF,Arsenal
George Baldock,0.13,38.0,DEF,Sheffield Utd
Giulian Biancone,0.012529605896395268,39.0,DEF,Nott'm Forest
Gonzalo Montiel,3.65,44.0,DEF,Nott'm Forest
Hannes Delcroix,0.47,40.0,DEF,Burnley
Harrison Ashby,0.012529605896395268,40.0,DEF,Newcastle
Harry Maguire,2.63,42.0,DEF,Man Utd
Harry Toffolo,0.22,44.0,DEF,Nott'm Forest
Hjalmar Ekdal,1.42,39.0,DEF,Burnley
Hugo Bueno López,0.11,44.0,DEF,Wolves
Ibrahima Konaté,0.8,49.0,DEF,Liverpool
Igor Julio dos Santos de Paulo,0.03,43.0,DEF,Brighton
Illia Zabarnyi,1.58,44.0,DEF,Bournemouth
Issa Diop,1.44,44.0,DEF,Fulham
Issa Kaboré,0.13,40.0,DEF,Luton
Ivan Perišić,0.33,47.0,DEF,Spurs
Jack Robinson,1.85,43.0,DEF,Sheffield Utd
Jake O'Brien,0.012529605896395268,40.0,DEF,Crystal Palace
Jakub Kiwior,2.06,43.0,DEF,Arsenal
Jamaal Lascelles,0.32,41.0,DEF,Newcastle
Jamal Lewis,0.012529605896395268,40.0,DEF,Newcastle
James Hill,0.18,40.0,DEF,Bournemouth
James Tarkowski,3.48,46.0,DEF,Everton
James Tomkins,0.0,40.0,DEF,Crystal Palace
Jan Paul van Hecke,0.99,40.0,DEF,Brighton
Japhet Tanganga,0.012529605896395268,40.0,DEF,Spurs
Jarell Quansah,0.6,40.0,DEF,Liverpool
Jarrad Branthwaite,2.62,41.0,DEF,Everton
Javier Manquillo Gaitán,0.012529605896395268,40.0,DEF,Newcastle
Jayden Bogle,3.5,45.0,DEF,Sheffield Utd
Ji-Soo Kim,0.012529605896395268,40.0,DEF,Brentford
Jili Buyabu,0.012529605896395268,40.0,DEF,Sheffield Utd
Joachim Andersen,2.55,48.0,DEF,Crystal Palace
Joe Gomez,1.59,46.0,DEF,Liverpool
Joe Rodon,0.012529605896395268,40.0,DEF,Spurs
Joe Worrall,0.56,43.0,DEF,Nott'm Forest
Joel Matip,0.56,48.0,DEF,Liverpool
Joel Ward,0.28,45.0,DEF,Crystal Palace
John Egan,0.24,43.0,DEF,Sheffield Utd
John Stones,1.84,53.0,DEF,Man City
Jonathan Castro Otto,0.0,43.0,DEF,Wolves
Jonathan Panzo,0.012529605896395268,40.0,DEF,Nott'm Forest
Jonny Evans,1.22,40.0,DEF,Man Utd
Jordan Beyer,0.13,40.0,DEF,Burnley
Joseph Johnson,0.012529605896395268,40.0,DEF,Luton
Josh Brooking,0.012529605896395268,40.0,DEF,Chelsea
Josh Powell,0.012529605896395268,39.0,DEF,Nott'm Forest
João Cancelo,0.012529605896395268,58.0,DEF,Man City
Joël Veltman,0.63,43.0,DEF,Brighton
Joško Gvardiol,1.12,48.0,DEF,Man City
Jurriën Timber,0.04,46.0,DEF,Arsenal
Justin Hubner,0.012529605896395268,40.0,DEF,Wolves
Kaelan Casey,0.012529605896395268,40.0,DEF,West Ham
Kaine Kesler-Hayden,0.012529605896395268,40.0,DEF,Aston Villa
Kell Watts,0.012529605896395268,40.0,DEF,Newcastle
Kenny Tete,0.87,44.0,DEF,Fulham
Kevin Mbabu,0.012529605896395268,40.0,DEF,Fulham
Ki-Jana Hoever,0.012529605896395268,40.0,DEF,Wolves
Kieran Tierney,0.012529605896395268,44.0,DEF,Arsenal
Kieran Trippier,3.98,68.0,DEF,Newcastle
Konstantinos Mavropanos,1.1,45.0,DEF,West Ham
Konstantinos Tsimikas,0.71,45.0,DEF,Liverpool
Kortney Hause,0.012529605896395268,39.0,DEF,Aston Villa
Kristoffer Ajer,1.12,44.0,DEF,Brentford
Kurt Zouma,3.66,45.0,DEF,West Ham
Kyle Walker,1.43,55.0,DEF,Man City
Leigh Kavanagh,0.012529605896395268,40.0,DEF,Brighton
Levi Colwill,1.53,47.0,DEF,Chelsea
Lewis Dunk,1.34,50.0,DEF,Brighton
Lewis Hall,0.67,43.0,DEF,Newcastle
Lisandro Martínez,1.61,47.0,DEF,Man Utd
Lloyd Kelly,0.89,45.0,DEF,Bournemouth
Lorenz Assignon,1.8,40.0,DEF,Burnley
Loïc Mbe Soh,0.012529605896395268,40.0,DEF,Nott'm Forest
Luc De Fougerolles,0.012529605896395268,39.0,DEF,Fulham
Lucas Digne,0.85,46.0,DEF,Aston Villa
Luke Chambers,0.012529605896395268,40.0,DEF,Liverpool
Luke McNally,0.012529605896395268,40.0,DEF,Burnley
Luke Shaw,1.21,52.0,DEF,Man Utd
Luke Thomas,-0.03,40.0,DEF,Sheffield Utd
Mads Bech Sørensen,0.012529605896395268,40.0,DEF,Brentford
Mads Juel Andersen,0.18,39.0,DEF,Luton
Mads Roerslev Rasmussen,3.71,44.0,DEF,Brentford
Malang Sarr,0.012529605896395268,43.0,DEF,Chelsea
Malo Gusto,3.92,42.0,DEF,Chelsea
Manuel Akanji,1.08,49.0,DEF,Man City
Marc Cucurella Saseta,0.11,48.0,DEF,Chelsea
Marc Guéhi,0.72,44.0,DEF,Crystal Palace
Marcos Senesi,4.98,45.0,DEF,Bournemouth
Mason Holgate,0.14,40.0,DEF,Sheffield Utd
Mathias Jorgensen,0.09,43.0,DEF,Brentford
Matt Doherty,0.72,43.0,DEF,Wolves
Matt Targett,0.23,42.0,DEF,Newcastle
Matty Cash,1.6,46.0,DEF,Aston Villa
Max Aarons,0.08,44.0,DEF,Bournemouth
Max Kilman,1.68,45.0,DEF,Wolves
Max Kinsey-Wellings,0.012529605896395268,40.0,DEF,Bournemouth
Max Lowe,1.71,43.0,DEF,Sheffield Utd
Maxime Esteve,0.27,40.0,DEF,Burnley
Michael Keane,0.52,43.0,DEF,Everton
Michał Karbownik,0.012529605896395268,40.0,DEF,Brighton
Micky van de Ven,1.65,44.0,DEF,Spurs
Milos Kerkez,1.18,44.0,DEF,Bournemouth
Mohamed Dräger,0.012529605896395268,40.0,DEF,Nott'm Forest
Moussa Niakhaté,0.85,45.0,DEF,Nott'm Forest
Murillo Santiago Costa dos Santos,1.45,45.0,DEF,Nott'm Forest
Nathan Aké,5.87,50.0,DEF,Man City
Nathan Collins,1.85,45.0,DEF,Brentford
Nathan Patterson,0.09,44.0,DEF,Everton
Nathaniel Clyne,0.46,44.0,DEF,Crystal Palace
Nathaniel Phillips,0.012529605896395268,40.0,DEF,Liverpool
Nayef Aguerd,0.44,44.0,DEF,West Ham
Neco Williams,0.96,43.0,DEF,Nott'm Forest
Nuno Varela Tavares,0.81,40.0,DEF,Nott'm Forest
Nélson Cabral Semedo,1.2,45.0,DEF,Wolves
Oleksandr Zinchenko,1.28,52.0,DEF,Arsenal
Oliver Scarles,0.012529605896395268,40.0,DEF,West Ham
Olu Aina,0.08,45.0,DEF,Nott'm Forest
Omar Richards,0.012529605896395268,44.0,DEF,Nott'm Forest
Owen Beck,0.04,45.0,DEF,Liverpool
Owen Dodgson,0.012529605896395268,40.0,DEF,Burnley
Pau Torres,0.85,46.0,DEF,Aston Villa
Paul Dummett,0.0,39.0,DEF,Newcastle
Pedro Porro,2.19,59.0,DEF,Spurs
Pervis Estupiñán,2.85,51.0,DEF,Brighton
Radu Dragusin,0.48,44.0,DEF,Spurs
Raphaël Varane,1.29,49.0,DEF,Man Utd
Rayan Aït-Nouri,1.2,45.0,DEF,Wolves
Reece Burke,1.02,40.0,DEF,Luton
Reece James,0.25,53.0,DEF,Chelsea
Reuell Walters,0.012529605896395268,40.0,DEF,Arsenal
Rhys Bennett,0.012529605896395268,40.0,DEF,Man Utd
Rhys Norrington-Davies,0.76,39.0,DEF,Sheffield Utd
Richie Laryea,0.012529605896395268,45.0,DEF,Nott'm Forest
Rico Henry,0.36,43.0,DEF,Brentford
Rico Lewis,2.07,43.0,DEF,Man City
Rob Holding,0.012529605896395268,43.0,DEF,Crystal Palace
Ryan Fredericks,0.012529605896395268,43.0,DEF,Bournemouth
Ryan Giles,0.21,42.0,DEF,Luton
Ryan Sessegnon,0.012529605896395268,44.0,DEF,Spurs
Rúben Gato Alves Dias,3.52,55.0,DEF,Man City
Santiago Bueno,0.07,45.0,DEF,Wolves
Scott McKenna,0.15,44.0,DEF,Nott'm Forest
Seamus Coleman,0.35,44.0,DEF,Everton
Sepp van den Berg,0.012529605896395268,40.0,DEF,Liverpool
Serge Aurier,0.44,45.0,DEF,Nott'm Forest
Sergio Gómez,0.09,38.0,DEF,Man City
Sergio Reguilón,0.71,44.0,DEF,Brentford
Steve Cook,0.012529605896395268,45.0,DEF,Nott'm Forest
Sven Botman,2.37,45.0,DEF,Newcastle
Takehiro Tomiyasu,0.38,45.0,DEF,Arsenal
Tariq Lamptey,1.71,39.0,DEF,Brighton
Tayo Adaramola,0.012529605896395268,40.0,DEF,Crystal Palace
Teden Mengi,0.61,39.0,DEF,Luton
Terence Kongolo,0.012529605896395268,40.0,DEF,Fulham
Thiago Emiliano da Silva,2.19,50.0,DEF,Chelsea
Thilo Kehrer,0.02,42.0,DEF,West Ham
Tim Ream,1.27,45.0,DEF,Fulham
Timothy Castagne,1.53,45.0,DEF,Fulham
Tino Livramento,1.37,42.0,DEF,Newcastle
Tom Lockyer,0.1,42.0,DEF,Luton
Tosin Adarabioyo,0.67,43.0,DEF,Fulham
Toti António Gomes,1.75,44.0,DEF,Wolves
Trent Alexander-Arnold,4.47,86.0,DEF,Liverpool
Trevoh Chalobah,0.012529605896395268,43.0,DEF,Chelsea
Tyrell Malacia,0.012529605896395268,43.0,DEF,Man Utd
Tyrick Mitchell,1.25,46.0,DEF,Crystal Palace
Tyrone Mings,0.0,41.0,DEF,Aston Villa
Valintino Adedokun,0.012529605896395268,40.0,DEF,Brentford
Victor Lindelöf,0.84,45.0,DEF,Man Utd
Victor da Silva,1.97,44.0,DEF,Burnley
Virgil van Dijk,5.16,63.0,DEF,Liverpool
Vitalii Mykolenko,3.5,46.0,DEF,Everton
Vladimír Coufal,1.07,46.0,DEF,West Ham
Wesley Fofana,0.012529605896395268,44.0,DEF,Chelsea
William Saliba,6.4,56.0,DEF,Arsenal
Willy Boly,0.28,45.0,DEF,Nott'm Forest
Willy Kambwala,0.12,39.0,DEF,Man Utd
Yasser Larouci,0.18,43.0,DEF,Sheffield Utd
Yerson Mosquera,0.012529605896395268,40.0,DEF,Wolves
Álvaro Fernández Carreras,0.012529605896395268,40.0,DEF,Man Utd
Aaron Ramsey,0.6,50.0,MID,Burnley
Abdoulaye Doucouré,0.46,55.0,MID,Everton
Adam Lallana,0.57,49.0,MID,Brighton
Adam Wharton,2.07,50.0,MID,Crystal Palace
Adama Traoré,0.21,49.0,MID,Fulham
Albert Sambi Lokonga,0.95,49.0,MID,Luton
Alejandro Garnacho,2.8,49.0,MID,Man Utd
Alex Iwobi,0.41,53.0,MID,Fulham
Alex Matos,0.098,45.0,MID,Chelsea
Alex Mighten,0.009533857069397965,44.0,MID,Nott'm Forest
Alex Scott,2.26,49.0,MID,Bournemouth
Alexis Mac Allister,2.95,58.0,MID,Liverpool
Allan Campbell,0.009533857069397965,49.0,MID,Luton
Allan Saint-Maximin,0.009533857069397965,60.0,MID,Newcastle
Amad Diallo,0.1,44.0,MID,Man Utd
Amadou Diallo,0.0,45.0,MID,Newcastle
Amadou Onana,1.54,47.0,MID,Everton
Anass Zaroury,0.07,46.0,MID,Burnley
Andre Brooks,0.44,44.0,MID,Sheffield Utd
Andreas Hoelgebaum Pereira,2.2,53.0,MID,Fulham
Andrey Nascimento dos Santos,0.0,42.0,MID,Chelsea
Andros Townsend,0.75,50.0,MID,Luton
André Tavares Gomes,0.34,44.0,MID,Everton
Anis Slimane,1.73,47.0,MID,Sheffield Utd
Anssumane Fati Vieira,1.43,64.0,MID,Brighton
Anthony Elanga,3.27,51.0,MID,Nott'm Forest
